                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
 95.0   5.0           0.244787         0.124409
105.0   5.0           0.224531         0.117137
115.0   5.0           0.068551         0.114482
125.0   5.0           0.203763         0.116819
135.0   5.0           0.201114         0.124455
145.0   5.0           0.308216         0.138678
155.0   5.0           0.254039         0.157204
165.0   5.0          -0.050286         0.183540
175.0   5.0          -0.307331         0.489449

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.293260     0.148247    -0.613647     0.283711    -0.109765     0.354460     0.000000     0.000000

chi^2/ndf =  15.716/15 =   1.048

------------------------------------------------------------------------------

Channel 242: 162.011 +- 0.711 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.084172         0.425823
 15.0   5.0           0.266522         0.226520
 25.0   5.0           0.084265         0.218177
 35.0   5.0          -0.037644         0.222908
 45.0   5.0          -0.319399         0.226332
 55.0   5.0          -0.280113         0.216894
 65.0   5.0          -0.129901         0.191088
 75.0   5.0          -0.138467         0.166259
 85.0   5.0           0.199861         0.134313
 95.0   5.0           0.008081         0.116765
105.0   5.0           0.098643         0.110366
115.0   5.0           0.001031         0.111351
125.0   5.0           0.031814         0.112410
135.0   5.0           0.174880         0.118730
145.0   5.0           0.134203         0.126878
155.0   5.0           0.127425         0.145892
165.0   5.0           0.175277         0.187550
175.0   5.0           0.072351         0.396522

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.038332     0.137013    -0.487607     0.262741     0.083951     0.325761     0.000000     0.000000

chi^2/ndf =   9.147/15 =   0.610

------------------------------------------------------------------------------

Channel 241: 163.284 +- 0.707 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.103259         0.328912
 15.0   5.0          -0.318923         0.215088
 25.0   5.0          -0.212636         0.213807
 35.0   5.0          -0.003621         0.215783
 45.0   5.0          -0.223553         0.219178
 55.0   5.0          -0.213111         0.210652
 65.0   5.0           0.042497         0.187939
 75.0   5.0           0.153727         0.158852
 85.0   5.0           0.165752         0.131253
 95.0   5.0           0.065593         0.111275
105.0   5.0           0.102501         0.104172
115.0   5.0          -0.006943         0.104287
125.0   5.0           0.176819         0.108208
135.0   5.0           0.234038         0.115007
145.0   5.0           0.140524         0.126132
155.0   5.0          -0.081304         0.141987
165.0   5.0           0.119297         0.178128
175.0   5.0           0.228413         0.405737

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.050851     0.128914    -0.534885     0.246752    -0.297378     0.305862     0.000000     0.000000

chi^2/ndf =   9.077/15 =   0.605

------------------------------------------------------------------------------

Channel 240: 164.555 +- 0.704 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.251361         0.399885
 15.0   5.0          -0.133435         0.246339
 25.0   5.0          -0.185705         0.241910
 35.0   5.0          -0.205093         0.239803
 45.0   5.0           0.065448         0.244048
 55.0   5.0          -0.124330         0.233068
 65.0   5.0          -0.265751         0.211478
 75.0   5.0          -0.005055         0.178707
 85.0   5.0           0.377483         0.146180
 95.0   5.0           0.034143         0.123961
105.0   5.0           0.049227         0.118532
115.0   5.0           0.107862         0.113200
125.0   5.0           0.061788         0.117036
135.0   5.0           0.151087         0.124500
145.0   5.0           0.216515         0.138181
155.0   5.0           0.264543         0.156044
165.0   5.0           0.142607         0.193867
175.0   5.0           0.112086         0.431153

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.104617     0.139523    -0.546539     0.266753    -0.046220     0.330756     0.000000     0.000000

chi^2/ndf =  10.636/15 =   0.709

------------------------------------------------------------------------------

Channel 239: 165.827 +- 0.701 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.182165         0.417956
 15.0   5.0          -0.174809         0.239787
 25.0   5.0           0.263287         0.237772
 35.0   5.0          -0.148199         0.243491
 45.0   5.0          -0.022236         0.243315
 55.0   5.0          -0.152458         0.232502
 65.0   5.0          -0.274684         0.210281
 75.0   5.0           0.062435         0.177214
 85.0   5.0           0.174109         0.145225
 95.0   5.0           0.129494         0.125218
105.0   5.0           0.177897         0.114983
115.0   5.0           0.145689         0.115685
125.0   5.0           0.241560         0.115070
135.0   5.0           0.325951         0.126925
145.0   5.0           0.196230         0.128904
155.0   5.0           0.051552         0.153025
165.0   5.0           0.073231         0.196316
175.0   5.0           0.357374         0.487737

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.219603     0.135099    -0.648298     0.258782     0.008124     0.318709     0.000000     0.000000

chi^2/ndf =   6.642/15 =   0.443

------------------------------------------------------------------------------

Channel 238: 167.098 +- 0.697 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.781457         0.533231
 15.0   5.0          -0.037750         0.280886
 25.0   5.0           0.032785         0.284184
 35.0   5.0          -0.293111         0.288312
 45.0   5.0          -0.298012         0.289131
 55.0   5.0          -0.241997         0.277283
 65.0   5.0          -0.666971         0.246443
 75.0   5.0          -0.139317         0.208184
 85.0   5.0           0.363265         0.170330
 95.0   5.0          -0.035947         0.144671
105.0   5.0          -0.097808         0.135134
115.0   5.0           0.195600         0.132207
125.0   5.0           0.087989         0.134685
135.0   5.0           0.072469         0.144163
145.0   5.0           0.160064         0.149955
155.0   5.0           0.327722         0.180661
165.0   5.0           0.067948         0.232214
175.0   5.0           0.456944         0.573646

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.100778     0.155466    -0.806280     0.297584    -0.056840     0.365341     0.000000     0.000000

chi^2/ndf =  17.590/15 =   1.173

------------------------------------------------------------------------------

Channel 237: 168.369 +- 0.694 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.142712         0.496819
 15.0   5.0           0.005672         0.281069
 25.0   5.0          -0.309189         0.284771
 35.0   5.0          -0.495626         0.290168
 45.0   5.0           0.098663         0.292799
 55.0   5.0           0.066414         0.280454
 65.0   5.0          -0.095024         0.248796
 75.0   5.0           0.123765         0.208722
 85.0   5.0           0.037057         0.168003
 95.0   5.0          -0.224228         0.145911
105.0   5.0           0.189350         0.133846
115.0   5.0           0.327152         0.134894
125.0   5.0           0.193138         0.137691
135.0   5.0          -0.077288         0.146385
145.0   5.0           0.366716         0.157434
155.0   5.0           0.252867         0.183228
165.0   5.0           0.101673         0.241202
175.0   5.0           0.662743         0.533143

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.096034     0.153653    -0.688048     0.294097     0.078103     0.361520     0.000000     0.000000

chi^2/ndf =  16.333/15 =   1.089

------------------------------------------------------------------------------

Channel 236: 169.622 +- 0.708 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.484883         0.459540
 15.0   5.0          -0.018663         0.269789
 25.0   5.0          -0.098656         0.276280
 35.0   5.0          -0.012560         0.287063
 45.0   5.0           0.102224         0.291457
 55.0   5.0           0.255849         0.275118
