# RunInfo:	RunNumber	FileName	RunType	BeamTimeBlock	RunDateTime	TargetNMRSignal	TargetOrient	HelBitPresent	AcquCrash	LaddP2Ratio	TargetPolDegree	ErrorTargetPolDegree	BeamPolDegree	AbsTaggEff	BufferDataPath
RunInfo:	26780	CB_26780.dat	0	0	40440.785156	-1	1	0	0	131.000000	-0.705600	0.037300	0.000000	0.089868	2010_09_B
RunInfo:	26781	CB_26781.dat	0	0	40440.808594	-1	1	0	0	131.399994	-0.705200	0.037300	0.000000	0.089585	2010_09_B
RunInfo:	26782	CB_26782.dat	0	0	40440.824219	-1	1	0	0	128.000000	-0.704800	0.037300	0.000000	0.091963	2010_09_B
RunInfo:	26783	CB_26783.dat	0	0	40440.843750	-1	1	0	0	126.599998	-0.704600	0.037300	0.000000	0.092987	2010_09_B
RunInfo:	26784	CB_26784.dat	0	0	40440.851562	-1	1	0	0	129.699997	-0.704300	0.037300	0.000000	0.090762	2010_09_B
RunInfo:	26785	CB_26785.dat	0	0	40440.875000	-1	1	0	0	130.000000	-0.703700	0.037200	0.000000	0.090551	2010_09_B
RunInfo:	26786	CB_26786.dat	0	0	40440.898438	-1	1	0	0	131.000000	-0.703300	0.037200	0.000000	0.089868	2010_09_B
RunInfo:	26787	CB_26787.dat	0	0	40440.917969	-1	1	0	0	130.000000	-0.702800	0.037200	0.000000	0.090551	2010_09_B
RunInfo:	26788	CB_26788.dat	0	0	40440.953125	-1	1	0	0	131.000000	-0.702300	0.037100	0.000000	0.089868	2010_09_B
RunInfo:	26789	CB_26789.dat	0	0	40440.968750	-1	1	0	0	132.000000	-0.701700	0.037100	0.000000	0.089185	2010_09_B
RunInfo:	26790	CB_26790.dat	0	0	40440.992188	-1	1	0	0	131.000000	-0.701300	0.037100	0.000000	0.089868	2010_09_B
RunInfo:	26791	CB_26791.dat	0	0	40441.015625	-1	1	0	0	131.000000	-0.700800	0.037100	0.000000	0.089868	2010_09_B
RunInfo:	26792	CB_26792.dat	0	0	40441.035156	-1	1	0	0	132.000000	-0.700400	0.037000	0.000000	0.089185	2010_09_B
RunInfo:	26793	CB_26793.dat	0	0	40441.054688	-1	1	0	0	132.000000	-0.700100	0.037000	0.000000	0.089185	2010_09_B
RunInfo:	26794	CB_26794.dat	0	0	40441.074219	-1	1	0	0	132.000000	-0.699600	0.037000	0.000000	0.089185	2010_09_B
RunInfo:	26795	CB_26795.dat	0	0	40441.093750	-1	1	0	0	133.000000	-0.699100	0.037000	0.000000	0.088514	2010_09_B
RunInfo:	26796	CB_26796.dat	0	0	40441.117188	-1	1	0	0	133.000000	-0.698700	0.037000	0.000000	0.088514	2010_09_B
RunInfo:	26797	CB_26797.dat	0	0	40441.132812	-1	1	0	0	132.000000	-0.698300	0.036900	0.000000	0.089185	2010_09_B
RunInfo:	26798	CB_26798.dat	0	0	40441.152344	-1	1	0	0	133.300003	-0.697800	0.036900	0.000000	0.088314	2010_09_B
RunInfo:	26799	CB_26799.dat	0	0	40441.175781	-1	1	0	0	133.899994	-0.697400	0.036900	0.000000	0.087914	2010_09_B
RunInfo:	26800	CB_26800.dat	0	0	40441.195312	-1	1	0	0	133.600006	-0.696900	0.036900	0.000000	0.088114	2010_09_B
RunInfo:	26801	CB_26801.dat	0	0	40441.214844	-1	1	0	0	133.600006	-0.696700	0.036800	0.000000	0.088114	2010_09_B
RunInfo:	26802	CB_26802.dat	0	0	40441.226562	-1	1	0	0	133.000000	-0.696400	0.036800	0.000000	0.088514	2010_09_B
RunInfo:	26803	CB_26803.dat	0	0	40441.238281	-1	1	0	0	134.000000	-0.696100	0.036800	0.000000	0.087855	2010_09_B
RunInfo:	26804	CB_26804.dat	0	0	40441.257812	-1	1	0	0	134.000000	-0.695600	0.036800	0.000000	0.087855	2010_09_B
